year_month;uf;product;unit;volume;created_at
'2013DEZ;CEARÁ;ÓLEO DIESEL S-10;m3;54911,445;2023-10-20 14:46:16.368086'
'2013JAN;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;m3;2722;2023-10-20 14:46:16.368086'
'2013FEV;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;m3;2572;2023-10-20 14:46:16.368086'
'2013MAR;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;m3;3025,55;2023-10-20 14:46:16.368086'
'2013ABR;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;m3;3346;2023-10-20 14:46:16.368086'
'2013MAI;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;m3;3513;2023-10-20 14:46:16.368086'
'2013JUN;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;m3;3486,5;2023-10-20 14:46:16.368086'
'2013JUL;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;m3;4413;2023-10-20 14:46:16.368086'
'2013AGO;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;m3;4656;2023-10-20 14:46:16.368086'
'2013SET;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;m3;4941,143;2023-10-20 14:46:16.368086'
'2013OUT;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;m3;5583;2023-10-20 14:46:16.368086'
'2013NOV;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;m3;6008,5;2023-10-20 14:46:16.368086'
'2013DEZ;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;m3;6101;2023-10-20 14:46:16.368086'
'2013JAN;PARAÍBA;ÓLEO DIESEL S-10;m3;2401,5;2023-10-20 14:46:16.368086'
'2013FEV;PARAÍBA;ÓLEO DIESEL S-10;m3;2964,5;2023-10-20 14:46:16.368086'
'2013MAR;PARAÍBA;ÓLEO DIESEL S-10;m3;3090;2023-10-20 14:46:16.368086'
'2013ABR;PARAÍBA;ÓLEO DIESEL S-10;m3;3641,5;2023-10-20 14:46:16.368086'
